label,start,mid,end
¥ª¤Ï¤â¦^²y,270,281,312
¥ª¤Ï¤â¦^²y,335,348,372
¥ª¤Ï¤â¦^²y,422,432,460
¥ª¥¿¤â¦^²y,489,495,522
¥ª¥¿¤â¦^²y,965,977,1007
¥ª¥¿¤â¦^²y,1043,1050,1090
¥ª¥¿¤â¦^²y,1095,1121,1143
¥ª¥¿¤â¦^²y,1162,1175,1206
¥ª¥¿¤âµo²y,1606,1670,1726
¥ª¤Ï¤â¦^²y,1766,1775,1809
¥ª¤Ï¤â¦^²y,1902,1909,1951
¥ª¥¿¤â¦^²y,1966,1972,2000
¥ª¥¿¤âµo²y,2180,2245,2292
¥ª¤Ï¤â¦^²y,2731,2740,2777
¥ª¥¿¤â¦^²y,2806,2812,2837
¥ª¥¿¤â¦^²y,2860,2867,2900
¥ª¤Ï¤â¦^²y,3292,3301,3338
¥ª¥¿¤âµo²y,3764,3822,3865
¥ª¤Ï¤â¦^²y,3907,3931,3965
¥ª¤Ï¤â¦^²y,3977,4003,4033
¥ª¥¿¤âµo²y,4186,4255,4308
¥ª¤Ï¤â¦^²y,4346,4361,4397
¥ª¤Ï¤â¦^²y,4407,4417,4461
¥ª¤Ï¤â¦^²y,4469,4493,4530
¥ª¤Ï¤â¦^²y,4537,4548,4590
¥ª¤Ï¤â¦^²y,4611,4623,4656
¥ª¤Ï¤â¦^²y,4676,4683,4711
¥ª¤Ï¤â¦^²y,4952,4959,4991
¥ª¥¿¤â¦^²y,5009,5023,5045
¥ª¤Ï¤â¦^²y,5489,5499,5545
¥ª¥¿¤â¦^²y,5553,5573,5600
¥ª¤Ï¤â¦^²y,5625,5640,5655
¥ª¥¿¤â¦^²y,5694,5718,5738
¥ª¤Ï¤âµo²y,6167,6218,6262
¥ª¤Ï¤âµo²y,6564,6624,6668
¥ª¤Ï¤â¦^²y,6709,6730,6742
¥ª¤Ï¤â¦^²y,6771,6786,6803
¥ª¤Ï¤â¦^²y,6841,6863,6874
¥ª¥¿¤â¦^²y,6906,6919,6937
¥ª¥¿¤â¦^²y,7518,7539,7555
¥ª¤Ï¤â¦^²y,7593,7614,7625
¥ª¤Ï¤â¦^²y,8031,8050,8065
¥ª¤Ï¤â¦^²y,8100,8114,8130
¥ª¤Ï¤â¦^²y,8169,8189,8203
¥ª¤Ï¤â¦^²y,8232,8245,8262
¥ª¥¿¤âµo²y,8624,8671,8713
¥ª¥¿¤âµo²y,9074,9125,9171
¥ª¤Ï¤â¦^²y,9208,9227,9239
¥ª¥¿¤â¦^²y,9277,9292,9305
¥ª¤Ï¤â¦^²y,9334,9354,9373
¥ª¤Ï¤â¦^²y,9413,9434,9444
¥ª¤Ï¤â¦^²y,9877,9898,9911
¥ª¤Ï¤â¦^²y,9951,9963,9979
¥ª¤Ï¤â¦^²y,10017,10039,10050
¥ª¤Ï¤â¦^²y,10585,10607,10618
¥ª¤Ï¤â¦^²y,10649,10664,10682
¥ª¥¿¤â¦^²y,10720,10748,10759
¥ª¥¿¤âµo²y,11086,11140,11182
¥ª¥¿¤âµo²y,11548,11597,11639
¥ª¤Ï¤â¦^²y,11676,11698,11708
