label,start,mid,end
左反手回球,236,259,268
左正手回球,846,865,879
左正手發球,1436,1525,1573
左正手回球,1614,1645,1652
左正手發球,2090,2172,2218
左正手回球,2262,2295,2301
左反手回球,2803,2825,2833
左反手回球,3279,3308,3330
左正手發球,3553,3623,3668
左正手回球,3706,3738,3769
左正手發球,4030,4089,4129
左反手回球,4503,4522,4541
左反手回球,5202,5222,5243
左正手發球,5624,5687,5735
左正手回球,5777,5804,5819
左正手回球,5873,5907,5914
左正手發球,6240,6288,6331
左反手回球,6362,6375,6384
左反手回球,6840,6862,6881
左反手回球,7330,7353,7362
左正手發球,7770,7836,7883
左正手回球,7920,7950,7960
左正手回球,7989,8004,8014
左正手發球,8440,8497,8546
左正手回球,8586,8617,8625
左正手回球,9184,9201,9217
左正手回球,9251,9262,9284
左反手回球,9703,9728,9746
左反手回球,9786,9813,9819
左正手發球,10165,10237,10283
左正手回球,10321,10350,10373
