label,start,mid,end
左反手回球,270,281,312
左反手回球,335,348,372
左反手回球,422,432,460
左正手回球,489,495,522
左正手回球,965,977,1007
左正手回球,1043,1050,1090
左正手回球,1095,1121,1143
左正手回球,1162,1175,1206
左正手發球,1606,1670,1726
左反手回球,1766,1775,1809
左反手回球,1902,1909,1951
左正手回球,1966,1972,2000
左正手發球,2180,2245,2292
左反手回球,2731,2740,2777
左正手回球,2806,2812,2837
左正手回球,2860,2867,2900
左反手回球,3292,3301,3338
左正手發球,3764,3822,3865
左反手回球,3907,3931,3965
左反手回球,3977,4003,4033
左正手發球,4186,4255,4308
左反手回球,4346,4361,4397
左反手回球,4407,4417,4461
左反手回球,4469,4493,4530
左反手回球,4537,4548,4590
左反手回球,4611,4623,4656
左反手回球,4676,4683,4711
左反手回球,4952,4959,4991
左正手回球,5009,5023,5045
左反手回球,5489,5499,5545
左正手回球,5553,5573,5600
左反手回球,5625,5640,5655
左正手回球,5694,5718,5738
左反手發球,6167,6218,6262
左反手發球,6564,6624,6668
左反手回球,6709,6730,6742
左反手回球,6771,6786,6803
左反手回球,6841,6863,6874
左正手回球,6906,6919,6937
左正手回球,7518,7539,7555
左反手回球,7593,7614,7625
左反手回球,8031,8050,8065
左反手回球,8100,8114,8130
左反手回球,8169,8189,8203
左反手回球,8232,8245,8262
左正手發球,8624,8671,8713
左正手發球,9074,9125,9171
左反手回球,9208,9227,9239
左正手回球,9277,9292,9305
左反手回球,9334,9354,9373
左反手回球,9413,9434,9444
左反手回球,9877,9898,9911
左反手回球,9951,9963,9979
左反手回球,10017,10039,10050
左反手回球,10585,10607,10618
左反手回球,10649,10664,10682
左正手回球,10720,10748,10759
左正手發球,11086,11140,11182
左正手發球,11548,11597,11639
左反手回球,11676,11698,11708
